,Comments,Scraped Comments,Reads,Votes,Chapter Name,Chapter,Part,Username,Date,Original,Text,Negative,Neutral,Positive,Compound
67,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,zephyre13,2020-01-03,"Woah that's a powerful goddess alright!
",woah that's a powerful goddess alright! ,0.0,0.371,0.629,0.6239
68,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,zephyre13,2020-01-03,"I love the idea of having poems as an inspiration and sharing them forward with your readers.. Thanks! I'll read them sometime soon!
",i love the idea of having poems as an inspiration and sharing them forward with your readers.. thanks! i'll read them sometime soon! ,0.0,0.565,0.435,0.9311
69,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Rusted_Gold,2019-12-20,"Hades is the oldest  Poseidon the middle and Zeus the youngest
",hades is the oldest  poseidon the middle and zeus the youngest ,0.0,1.0,0.0,0.0
70,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,ChristineHooks,2019-11-22,"Hades was the oldest brother. Zades the youngest.
",hades was the oldest brother. zades the youngest. ,0.0,1.0,0.0,0.0
71,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,FireFairyPrincess05,2019-11-11,"This comment may be offensive. The Targaryens were like fucking gods...
",the targaryens were like fucking gods...,0.0,0.667,0.333,0.3612
72,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,FireFairyPrincess05,2019-11-11,"You bought me with this... 😍😍❤️
",you bought me with this...  smiling face with heart-eyes  smiling face with heart-eyes  red heart selector  ,0.0,0.7,0.3,0.7184
73,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,infernalbiitch,2019-11-03,"AHHHH IM CRYING THIS IS SO NICE???
",ahhhh im crying this is so nice??? ,0.31,0.426,0.264,-0.1398
74,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,midnight-chapters,2019-10-23,"lana  my queen
",lana  my queen ,0.0,1.0,0.0,0.0
75,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,LRRMelo,2019-10-17,"This ""rape"" trope was caused by a translation ""mistake"" made by copist monks. I wasn't a thing on the original.
","this ""rape"" trope was caused by a translation ""mistake"" made by copist monks. i wasn't a thing on the original. ",0.0,0.874,0.126,0.3182
76,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,milknhon3y,2019-10-11,"loving this so far!
",loving this so far! ,0.0,0.417,0.583,0.636
